feedback_id,customer_name,feedback,date,product,clean_feedback,category
1,Karthik,Acceptable performance,2025-01-13,Laptop,acceptable performance,General
2,Priya,Great service and fast delivery,2025-12-27,Headphones,great service fast delivery,Delivery
3,Anitha,Support team was very helpful,2025-12-15,Smart Watch,support team very helpful,Support
4,Anitha,Average experience,2025-10-04,E-commerce,average experience,General
5,Manoj,Great service and fast delivery,2025-12-17,Headphones,great service fast delivery,Delivery
6,Priya,Customer support did not respond,2025-06-25,Laptop,customer support did not respond,Support
7,Divya,Decent product,2025-03-24,Headphones,decent product,Product
8,Priya,Support team was very helpful,2025-05-14,Mobile App,support team very helpful,Support
9,Rahul,Support team was very helpful,2025-06-13,E-commerce,support team very helpful,Support
10,Rahul,Excellent quality and very satisfied,2025-06-27,Banking App,excellent quality very satisfied,Product
11,Arun,Very happy with the product,2025-08-04,Laptop,very happy product,Product
12,Manoj,Worst product ever,2025-03-22,Smart Watch,worst product ever,Product
13,Manoj,Poor quality and waste of money,2025-07-15,Mobile App,poor quality waste money,Product
14,Suresh,Very happy with the product,2025-12-05,Banking App,very happy product,Product
15,Sneha,Excellent quality and very satisfied,2025-02-01,Smart Watch,excellent quality very satisfied,Product
16,Anitha,Average experience,2025-04-03,Laptop,average experience,General
17,Priya,Decent product,2025-05-12,Internet Service,decent product,Product
18,Karthik,Great service and fast delivery,2025-05-16,Smart Watch,great service fast delivery,Delivery
19,Arun,Decent product,2025-06-11,E-commerce,decent product,Product
20,Sneha,Poor quality and waste of money,2025-04-21,Laptop,poor quality waste money,Product
21,Arun,"Amazing experience, highly recommend",2025-01-19,Mobile,amazing experience highly recommend,General
22,Karthik,Worst product ever,2025-07-31,Mobile App,worst product ever,Product
23,Rahul,"Amazing experience, highly recommend",2025-05-15,E-commerce,amazing experience highly recommend,General
24,Sneha,Excellent quality and very satisfied,2025-01-17,Mobile,excellent quality very satisfied,Product
25,Karthik,Decent product,2025-10-10,Headphones,decent product,Product
26,Rahul,Poor quality and waste of money,2025-08-17,Internet Service,poor quality waste money,Product
27,Anitha,Customer support did not respond,2025-12-26,Laptop,customer support did not respond,Support
28,Suresh,Great service and fast delivery,2025-05-18,Mobile,great service fast delivery,Delivery
29,Karthik,Great service and fast delivery,2025-11-14,Mobile App,great service fast delivery,Delivery
30,Priya,Support team was very helpful,2025-10-17,Internet Service,support team very helpful,Support
31,Manoj,Decent product,2025-03-20,Internet Service,decent product,Product
32,Suresh,Support team was very helpful,2025-03-26,Internet Service,support team very helpful,Support
33,Pooja,Excellent quality and very satisfied,2025-05-03,Headphones,excellent quality very satisfied,Product
34,Suresh,Worst product ever,2025-09-16,Mobile,worst product ever,Product
35,Arun,Okay for the price,2025-06-16,E-commerce,okay price,Price
36,Suresh,Okay for the price,2025-01-19,Smart Watch,okay price,Price
37,Karthik,Worst product ever,2025-09-02,Banking App,worst product ever,Product
38,Pooja,Support team was very helpful,2025-01-26,Headphones,support team very helpful,Support
39,Priya,Very bad experience and disappointed,2025-11-28,Laptop,very bad experience disappointed,Product
40,Pooja,Very bad experience and disappointed,2025-07-23,Mobile App,very bad experience disappointed,Product
41,Rahul,Worst product ever,2025-01-27,Banking App,worst product ever,Product
42,Suresh,Worst product ever,2025-03-25,Mobile,worst product ever,Product
43,Anitha,"Amazing experience, highly recommend",2025-05-18,Internet Service,amazing experience highly recommend,General
44,Rahul,Great service and fast delivery,2025-10-09,Internet Service,great service fast delivery,Delivery
45,Anitha,Very happy with the product,2025-02-17,Internet Service,very happy product,Product
46,Priya,Decent product,2025-09-14,Laptop,decent product,Product
47,Priya,Average experience,2025-03-27,Banking App,average experience,General
48,Pooja,Very happy with the product,2025-09-05,Headphones,very happy product,Product
49,Suresh,Average experience,2025-04-25,Headphones,average experience,General
50,Karthik,Worst product ever,2025-07-02,Mobile App,worst product ever,Product
51,Pooja,Okay for the price,2025-07-30,Mobile App,okay price,Price
52,Anitha,Acceptable performance,2025-10-18,Laptop,acceptable performance,General
53,Pooja,Acceptable performance,2025-06-12,E-commerce,acceptable performance,General
54,Divya,Okay for the price,2025-04-04,Mobile,okay price,Price
